#,Name,Type,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
001,Bulbasaur,Grass,318,45,49,49,65,65,45
001,Bulbasaur,Poison,318,45,49,49,65,65,45
002,Ivysaur,Grass,405,60,62,63,80,80,60
002,Ivysaur,Poison,405,60,62,63,80,80,60
003,Venusaur,Grass,525,80,82,83,100,100,80
003,Venusaur,Poison,525,80,82,83,100,100,80
003,VenusaurMega Venusaur,Grass,625,80,100,123,122,120,80
003,VenusaurMega Venusaur,Poison,625,80,100,123,122,120,80
004,Charmander,Fire,309,39,52,43,60,50,65
005,Charmeleon,Fire,405,58,64,58,80,65,80
006,Charizard,Fire,534,78,84,78,109,85,100
006,Charizard,Flying,534,78,84,78,109,85,100
006,CharizardMega Charizard X,Fire,634,78,130,111,130,85,100
006,CharizardMega Charizard X,Dragon,634,78,130,111,130,85,100
006,CharizardMega Charizard Y,Fire,634,78,104,78,159,115,100
006,CharizardMega Charizard Y,Flying,634,78,104,78,159,115,100
007,Squirtle,Water,314,44,48,65,50,64,43
008,Wartortle,Water,405,59,63,80,65,80,58
009,Blastoise,Water,530,79,83,100,85,105,78
009,BlastoiseMega Blastoise,Water,630,79,103,120,135,115,78
010,Caterpie,Bug,195,45,30,35,20,20,45
011,Metapod,Bug,205,50,20,55,25,25,30
012,Butterfree,Bug,395,60,45,50,90,80,70
012,Butterfree,Flying,395,60,45,50,90,80,70
013,Weedle,Bug,195,40,35,30,20,20,50
013,Weedle,Poison,195,40,35,30,20,20,50
014,Kakuna,Bug,205,45,25,50,25,25,35
014,Kakuna,Poison,205,45,25,50,25,25,35
015,Beedrill,Bug,395,65,90,40,45,80,75
015,Beedrill,Poison,395,65,90,40,45,80,75
015,BeedrillMega Beedrill,Bug,495,65,150,40,15,80,145
015,BeedrillMega Beedrill,Poison,495,65,150,40,15,80,145
016,Pidgey,Normal,251,40,45,40,35,35,56
016,Pidgey,Flying,251,40,45,40,35,35,56
017,Pidgeotto,Normal,349,63,60,55,50,50,71
017,Pidgeotto,Flying,349,63,60,55,50,50,71
018,Pidgeot,Normal,479,83,80,75,70,70,101
018,Pidgeot,Flying,479,83,80,75,70,70,101
018,PidgeotMega Pidgeot,Normal,579,83,80,80,135,80,121
018,PidgeotMega Pidgeot,Flying,579,83,80,80,135,80,121
019,Rattata,Normal,253,30,56,35,25,35,72
019,RattataAlolan Rattata,Dark,253,30,56,35,25,35,72
019,RattataAlolan Rattata,Normal,253,30,56,35,25,35,72
020,Raticate,Normal,413,55,81,60,50,70,97
020,RaticateAlolan Raticate,Dark,413,75,71,70,40,80,77
020,RaticateAlolan Raticate,Normal,413,75,71,70,40,80,77
021,Spearow,Normal,262,40,60,30,31,31,70
021,Spearow,Flying,262,40,60,30,31,31,70
022,Fearow,Normal,442,65,90,65,61,61,100
022,Fearow,Flying,442,65,90,65,61,61,100
023,Ekans,Poison,288,35,60,44,40,54,55
024,Arbok,Poison,448,60,95,69,65,79,80
025,Pikachu,Electric,320,35,55,40,50,50,90
025,PikachuPartner Pikachu,Electric,430,45,80,50,75,60,120
026,Raichu,Electric,485,60,90,55,90,80,110
026,RaichuAlolan Raichu,Electric,485,60,85,50,95,85,110
026,RaichuAlolan Raichu,Psychic,485,60,85,50,95,85,110
027,Sandshrew,Ground,300,50,75,85,20,30,40
027,SandshrewAlolan Sandshrew,Ice,300,50,75,90,10,35,40
027,SandshrewAlolan Sandshrew,Steel,300,50,75,90,10,35,40
028,Sandslash,Ground,450,75,100,110,45,55,65
028,SandslashAlolan Sandslash,Ice,450,75,100,120,25,65,65
028,SandslashAlolan Sandslash,Steel,450,75,100,120,25,65,65
029,Nidoran♀,Poison,275,55,47,52,40,40,41
030,Nidorina,Poison,365,70,62,67,55,55,56
031,Nidoqueen,Poison,505,90,92,87,75,85,76
031,Nidoqueen,Ground,505,90,92,87,75,85,76
032,Nidoran♂,Poison,273,46,57,40,40,40,50
033,Nidorino,Poison,365,61,72,57,55,55,65
034,Nidoking,Poison,505,81,102,77,85,75,85
034,Nidoking,Ground,505,81,102,77,85,75,85
035,Clefairy,Fairy,323,70,45,48,60,65,35
036,Clefable,Fairy,483,95,70,73,95,90,60
037,Vulpix,Fire,299,38,41,40,50,65,65
037,VulpixAlolan Vulpix,Ice,299,38,41,40,50,65,65
038,Ninetales,Fire,505,73,76,75,81,100,100
038,NinetalesAlolan Ninetales,Ice,505,73,67,75,81,100,109
038,NinetalesAlolan Ninetales,Fairy,505,73,67,75,81,100,109
039,Jigglypuff,Normal,270,115,45,20,45,25,20
039,Jigglypuff,Fairy,270,115,45,20,45,25,20
040,Wigglytuff,Normal,435,140,70,45,85,50,45
040,Wigglytuff,Fairy,435,140,70,45,85,50,45
041,Zubat,Poison,245,40,45,35,30,40,55
041,Zubat,Flying,245,40,45,35,30,40,55
042,Golbat,Poison,455,75,80,70,65,75,90
042,Golbat,Flying,455,75,80,70,65,75,90
043,Oddish,Grass,320,45,50,55,75,65,30
043,Oddish,Poison,320,45,50,55,75,65,30
044,Gloom,Grass,395,60,65,70,85,75,40
044,Gloom,Poison,395,60,65,70,85,75,40
045,Vileplume,Grass,490,75,80,85,110,90,50
045,Vileplume,Poison,490,75,80,85,110,90,50
046,Paras,Bug,285,35,70,55,45,55,25
046,Paras,Grass,285,35,70,55,45,55,25
047,Parasect,Bug,405,60,95,80,60,80,30
047,Parasect,Grass,405,60,95,80,60,80,30
048,Venonat,Bug,305,60,55,50,40,55,45
048,Venonat,Poison,305,60,55,50,40,55,45
049,Venomoth,Bug,450,70,65,60,90,75,90
049,Venomoth,Poison,450,70,65,60,90,75,90
050,Diglett,Ground,265,10,55,25,35,45,95
050,DiglettAlolan Diglett,Ground,265,10,55,30,35,45,90
050,DiglettAlolan Diglett,Steel,265,10,55,30,35,45,90
051,Dugtrio,Ground,425,35,100,50,50,70,120
051,DugtrioAlolan Dugtrio,Ground,425,35,100,60,50,70,110
051,DugtrioAlolan Dugtrio,Steel,425,35,100,60,50,70,110
052,Meowth,Normal,290,40,45,35,40,40,90
052,MeowthAlolan Meowth,Dark,290,40,35,35,50,40,90
053,Persian,Normal,440,65,70,60,65,65,115
053,PersianAlolan Persian,Dark,440,65,60,60,75,65,115
054,Psyduck,Water,320,50,52,48,65,50,55
055,Golduck,Water,500,80,82,78,95,80,85
056,Mankey,Fighting,305,40,80,35,35,45,70
057,Primeape,Fighting,455,65,105,60,60,70,95
058,Growlithe,Fire,350,55,70,45,70,50,60
059,Arcanine,Fire,555,90,110,80,100,80,95
060,Poliwag,Water,300,40,50,40,40,40,90
061,Poliwhirl,Water,385,65,65,65,50,50,90
062,Poliwrath,Water,510,90,95,95,70,90,70
062,Poliwrath,Fighting,510,90,95,95,70,90,70
063,Abra,Psychic,310,25,20,15,105,55,90
064,Kadabra,Psychic,400,40,35,30,120,70,105
065,Alakazam,Psychic,500,55,50,45,135,95,120
065,AlakazamMega Alakazam,Psychic,600,55,50,65,175,105,150
066,Machop,Fighting,305,70,80,50,35,35,35
067,Machoke,Fighting,405,80,100,70,50,60,45
068,Machamp,Fighting,505,90,130,80,65,85,55
069,Bellsprout,Grass,300,50,75,35,70,30,40
